Rang;Titre;Périodicité;Période;Document;"Diffusion France Payée";"Evolution en %"
165;"So Foot";Mensuel;20152016;DSH;48871;-0,75
158;Society;Décadaire;20152016;DSH;50339;NA
208;Spirou;Hebdomadaire;20152016;DSH;29415;3,33
163;"Sport Auto";Mensuel;20152016;DSH;49174;-8,97
255;"Sport Bikes";Bimestriel;20152016;DSH;14325;-2,86
167;"Studio Ciné Live";Mensuel;20152016;DSH;47444;-13,7
298;Subaqua;Bimestriel;20152016;-;NC;NC
104;"Super Picsou Géant";Bimestriel;20152016;DSH;98367;-5,02
96;"Système D";Mensuel;20152016;DSH;107126;-4,48
9;"Télé 2 Semaines";Bimensuel;20152016;PV;796106;-3,64
78;"Télé 7 Jeux";Mensuel;20152016;DSH;132584;-3,11
3;"Télé 7 Jours";Hebdomadaire;20152016;PV;1147965;-4,32
91;"Télé 7 Jours Jeux";Mensuel;20152016;DSH;115926;-7,62
10;Télé-Loisirs;Hebdomadaire;20152016;PV;764693;-6,65
60;"Télé Magazine";Hebdomadaire;20152016;DSH;174844;-12,95
19;"Télé Poche";Hebdomadaire;20152016;PV;406200;-3,91
7;"Télé Star";Hebdomadaire;20152016;PV;819074;-6,91
4;"Télé Z";Hebdomadaire;20152016;PV;1129068;-6,28
16;"Télécable Sat Hebdo";Hebdomadaire;20152016;PV;504597;-3,71
14;Télérama;Hebdomadaire;20152016;PV;556386;-2,75
238;"Tennis Magazine";Mensuel;20152016;DSH;22083;-10,28
220;"Terre Sauvage";Mensuel;20152016;DSH;27190;-5,45
282;"Terres Catalanes";Trimestriel;20152016;DSH;7761;-8,22
182;Toboggan;Mensuel;20152016;DSH;39028;-3,41
29;"Top Santé";Mensuel;20152016;PV;327000;-8,68
274;"Top Vélo";Mensuel;20152016;DSH;9629;-18
236;"TopGear Magazine";Bimestriel;20152016;DSH;22296;NA
184;Toupie;Mensuel;20152016;DSH;38621;-6,8
297;Trends;Mensuel;20152016;-;NC;NC
8;"TV Grandes Chaînes";Bimensuel;20152016;PV;797690;-5,27
1;"TV Magazine";Hebdomadaire;20152016;DSH;4842767;-4,13
241;"Ultimate Spider-Man Magazine (ex Spider-Man Magazine)";Bimestriel;20152016;DSH;20916;-14,52
144;"L'US - L'Université Syndicaliste";Mensuel;20152016;DSH;56270;-0,75
89;"Valeurs Actuelles";Hebdomadaire;20152016;PV;118757;5,01
112;"Vanity Fair";Mensuel;20152016;DSH;90254;-9,63
171;"Vélo Magazine";Mensuel;20152016;DSH;45140;1,9
273;"Vélo Tout Terrain";Mensuel;20152016;DSH;10109;-1,28
2;"Version Fémina";Hebdomadaire;20152016;DSH;2870489;-4,32
113;"La Vie";Hebdomadaire;20152016;DSH;90034;-5,23
174;"La Vie du Jardin et des Jardiniers";Bimestriel;20152016;DSH;42860;-4,27
179;"La Vie du Rail";Hebdomadaire;20152016;DSH;40146;-7,2
122;"Vie Pratique Féminin";Mensuel;20152016;DSH;72393;-5,9
93;"Vie Pratique Gourmand";Bimensuel;20152016;DSH;113923;-11,29
285;Village;Trimestriel;20152016;DSH;7218;-11,75
129;Vital;Bimestriel;20152016;DSH;66011;10,18
124;"Vital Food";Trimestriel;20152016;DSH;71570;NA
212;"Vivre Côté Paris";Bimestriel;20152016;DSH;28315;1,79
269;"VMF - Vieilles Maisons Françaises";Bimestriel;20152016;DSH;10715;0,13
278;"Vocable Allemand";Bimensuel;20152016;DSH;8582;-7,98
185;"Vocable Anglais";Bimensuel;20152016;DSH;38139;-7,86
288;"Vocable Anglais/Anglais";Bimensuel;20152016;DSH;3747;-18,65
254;"Vocable Espagnol";Bimensuel;20152016;DSH;14816;-8,15
229;"Vogue Hommes";Semestriel;20152016;DSH;25237;-13,34
261;"Vogue Hors-Série ""Collections""";Semestriel;20152016;DSH;12414;-1,18
94;"Vogue Paris";Mensuel;20152016;DSH;113383;-4,96
42;Voici;Hebdomadaire;20152016;PV;267169;-3,28
189;"Voiles & Voiliers";Mensuel;20152016;DSH;37276;-5,66
213;"La Voix des Sports";Hebdomadaire;20152016;DSH;27949;-4,47
62;"La Voix du Combattant";Mensuel;20152016;DSH;171960;-1,41
99;VSD;Hebdomadaire;20152016;PV;104840;-6,3
263;"VTT Magazine";Mensuel;20152016;DSH;12281;-6,64
192;Wakou;Mensuel;20152016;DSH;36160;0,35
145;Wapiti;Mensuel;20152016;DSH;56128;5,04
150;Winnie;Mensuel;20152016;DSH;53411;-14,35
148;Youpi;Mensuel;20152016;DSH;54332;-3,11 
